Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
Round 1,Motilal Nehru National Institute of Technology Allahabad,Geoinformatics,G1,OPEN,565,444
Round 1,Motilal Nehru National Institute of Technology Allahabad,Engineering Mechanics and Design,G1,OPEN,522,395
Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering,G1,EWS,596,566
Round 1,National Institute of Technology Agartala,Structural Engineering,G1,ST,263,263
Round 1,National Institute of Technology Calicut,M.Plan. (Urban Planning),G1,OPEN,612,545
Round 1,National Institute of Technology Calicut,Energy Engineering & Management,G1,SC,259,248
Round 1,National Institute of Technology Calicut,High Voltage Engineering,G1,SC,257,257
Round 1,National Institute of Technology Calicut,Industrial Power & Automation,G1,SC,250,231
Round 1,National Institute of Technology Calicut,Manufacturing Technology,G1,OBC-NCL,425,391
Round 1,National Institute of Technology Calicut,Nanotechnology,G1,OBC-NCL,334,323
Round 1,National Institute of Technology Calicut,Power Electronics,G1,SC,333,300
Round 1,National Institute of Technology Calicut,Power Systems,G1,OBC-NCL,400,384
Round 1,National Institute of Technology Calicut,Signal Processing,G1,OBC-NCL,488,467
Round 1,National Institute of Technology Calicut,Structural Engineering,G1,OBC-NCL,502,480
Round 1,National Institute of Technology Calicut,Thermal Sciences,G1,SC,308,277
Round 1,National Institute of Technology Calicut,Water Resource Engineering,G1,OBC-NCL,375,362
Round 1,National Institute of Technology Calicut,Computer Science & Engineering (Information Security),G1,ST,314,307
Round 1,National Institute of Technology Delhi,Computer Aided Design & Manufacturing,G1,SC,323,285
Round 1,National Institute of Technology Delhi,Computer Science & Engineering (Analytics),G1,EWS,521,517
Round 1,National Institute of Technology Durgapur,Biotechnology,G1,OBC-NCL,388,341
Round 1,National Institute of Technology Durgapur,Environmental Science & Technology,G1,SC,263,219
Round 1,National Institute of Technology Durgapur,Microelectronics & VLSI,G1,OBC-NCL,509,480
Round 1,National Institute of Technology Durgapur,Operations Research,G1,ST,280,243
Round 1,National Institute of Technology Durgapur,Chemical Engineering (Energy Resources and Sustainable Environmental Engineering),G1,OPEN,404,360
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Design Engineering,G1,OPEN,484,358
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Signal Processing and Machine Learning,G1,OPEN,589,407
Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Structural and Construction Engineering,G1,OPEN,450,351
Round 1,Malaviya National Institute of Technology Jaipur,Design Engineering,G1,OBC-NCL,402,374
Round 1,Malaviya National Institute of Technology Jaipur,Design Engineering,G1,EWS,383,353
Round 1,Malaviya National Institute of Technology Jaipur,Power Electronics & Drives,G1,SC,300,257
Round 1,Malaviya National Institute of Technology Jaipur,Power Systems Management,G1,SC,214,214
Round 1,Malaviya National Institute of Technology Jaipur,Computer Science & Engineering,G1,SC,423,401
Round 1,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,G1,OPEN,543,536
Round 1,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,G2,EWS,531,531
Round 1,Maulana Azad National Institute of Technology Bhopal,Renewable Energy,G1,SC,249,244
Round 1,Maulana Azad National Institute of Technology Bhopal,Structural Engineering,G1,ST,275,272
Round 1,Maulana Azad National Institute of Technology Bhopal,Urban Planning,G1,ST,327,260
Round 1,Maulana Azad National Institute of Technology Bhopal,M.Tech Agile Software Engineering,G1,OBC-NCL,420,420
Round 1,Maulana Azad National Institute of Technology Bhopal,M.Tech Agile Software Engineering,G1,EWS,438,420
Round 1,Maulana Azad National Institute of Technology Bhopal,Computer Networking,G1,SC,288,288
Round 1,Motilal Nehru National Institute of Technology Allahabad,Control & Instrumentation,G1,OPEN,460,357
Round 1,Motilal Nehru National Institute of Technology Allahabad,Production Engineering,G1,OPEN,456,353
